Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic
COMMUNITY,C,,,Integrating Cloud Infrastructure with Large Scale HPC Environments,https://sc23.supercomputing.org/presentation/?id=bof222&sess=sess342 Rm 205-207,,15-Nov,12:15,13:15,Wednesday,hpoxon@,https://sc23.supercomputing.org/presentation/?id=bof222&sess=sess342,,Integrating Cloud Infrastructure with Large Scale HPC Environments,Rm 205-207,"SC BoF, Community"
COMMUNITY,C,,,Open MPI BoF: State of the Union,https://sc23.supercomputing.org/presentation/?id=bof113&sess=sess362 Rm 405-406-407,,15-Nov,12:15,13:15,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof113&sess=sess362,,Open MPI BoF: State of the Union,Rm 405-406-407,"SC BoF, Community"
AWS-THEATRE,T,,,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease","Join this session to learn how organizations across different fields—from EDA to drug design—have been using AWS to scale and improve their R&D. Learn how to create a real, large, and very complete cluster in a few minutes using AWS HPC services, including AWS ParallelCluster, Amazon FSx for Lustre, and visualization with NICE DCV. Find out how to customize compute images to include applications and development tools, and discover how to integrate with Spack for reliable deployment of open source packages.",AWS,15-Nov,13:00,14:00,Wednesday,bouffler,"Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Visualization"
SC23-POD5,PODs,,,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors","Amazon EC2 Hpc7a instances, powered by fourth-generation AMD EPYC processors, deliver up to 2.5 times better performance compared to Amazon EC2 Hpc6a instances. Hpc7a instances feature 2 times higher core density (up to 192 cores), 2.1 times higher memory bandwidth throughput, 2 times memory (768 GB), and 3 times higher network bandwidth compared to Hpc6a instances. In this demonstration, explore how Hpc7a instances are designed to run your tightly coupled HPC workloads, such as computational fluid dynamics, weather forecasting, and multiphysics simulations, with better performance.",AMD,15-Nov,13:00,16:00,Wednesday,XX,"Matt Shamitoff, Global Account Manager AWS, AMD; Mark Monro, 
Cloud Partner Development Manager, AMD",,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors",AWS Booth #1001 | Pod 5 SC'23 Denver,HPC Optimized Instances
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,15-Nov,14:00,15:00,Wednesday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI"
SC23-POD7,PODs,,,BlueQubit: A simple way to run quantum,"BlueQubit is a software infrastructure company for running hybrid compute jobs on QPU/GPU/CPU. Learn about their fast, zero-setup GPU simulators.",BlueQubit,15-Nov,14:00,16:00,Wednesday,XX,"Hrant Gharibyan, CEO, BlueQubit",,BlueQubit: A simple way to run quantum,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD8,PODs,,,Quantum reservoir computing for manufacturing defect detection,"Deloitte used QuEra‚Äôs neutral atom system to classify manufacturing images at their Smart Factory in Wichita, Kansas. In this demo, see how Deloitte took a real-world business problem, solved it with cutting-edge quantum AI techniques (quantum reservoir computing), and productionized it using a production-ready dashboard. Deloitte compared QuEra‚Äôs implementation of quantum reservoir computing against classical methodologies and found the results exceeded the method currently being used. Learn how Deloitte is working to productionize quantum AI algorithms as part of The Smart Factory quality assurance efforts and are working with the team to find the best methods for performing these tasks in a manufacturing facility.",Deloitte,15-Nov,14:00,15:00,Wednesday,XX,"Daniel Beaulieu, Specialist Master, Deloitte; William Scherr, Senior Consultant, Deloitte",,Quantum reservoir computing for manufacturing defect detection,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,Quantum simplicity: Classiq and Amazon Braket for quantum computing,"With quantum computing increasingly moving toward practical applications, the need for user-friendly and highly integrated platforms has never been greater. This session presents how the powerful integration between Classiq and Amazon Braket streamlines the user experience, from quantum circuit design to implementation. Learn how this integration eliminates the complexities of using and integrating quantum computers, allowing you to focus on solving real-world problems.",Classiq,15-Nov,14:00,15:00,Wednesday,XX,"Erik Garcell, Technical Marketing Manager, Classiq; Shai Lev, VP of Partnership, Classiq",,Quantum simplicity: Classiq and Amazon Braket for quantum computing,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD12,PODs,,,Enabling engineering workloads with Ansys Gateway powered by AWS,"Migrating engineering workloads like CAE simulation to cloud-based HPC has been a challenge for many AWS users. In this demo, learn how Ansys Gateway powered by AWS offers an easy workflow to deploy virtual desktops and virtual clusters with your selected Ansys applications installed, configured, and tuned for optimal performance. This is deployed in your own AWS environment, giving you the improved data control and affordability. Come see how this service can help accelerate your engineering workloads with the power of Ansys and AWS HPC.",Ansys,15-Nov,14:00,18:00,Wednesday,XX,"JJ Jones, Director Cloud Sales, Ansys; Jim Burnham, Director - Global Alliances, Ansys ",,Enabling engineering workloads with Ansys Gateway powered by AWS,AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD6,PODs,,,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,"In this demonstration, learn about the Parallel Works single pane of glass, multicloud environment operated by General Dynamics Information Technology for NOAA‚Äôs research and development HPC organization. Learn about key aspects of the implementation and optimization of the platform for large-scale HPC-driven research and development. The Parallel Works platform uses more than 20 AWS services, including Amazon FSx for Lustre, Amazon S3, Amazon EC2, and Amazon EFS. Dive deep on the end user experience, which incorporates the familiar on-premises computing environment and the flexibility and innovation of the cloud. Explore the portability of this environment to the multicloud environment and how it bridges the cloud to NOAA‚Äôs on-premises HPC resources. Discover how this environment supports AI operations that are critical to the evolution of environmental prediction at NOAA.",ParallelWorks,15-Nov,14:00,16:00,Wednesday,XX,"Michael Wilde, CEO, ParallelWorks; Unni Kirandumkara, HPC Cloud Developer Senior Advisor, GDIT, Inc.",,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,AWS Booth #1001 | Pod 6 SC'23 Denver,Hybrid
SC23-POD11,PODs,,,Reduce simulation time with TotalCAE on AWS,"TotalCAE on AWS reduces CAE simulation time up to 80% in just a few clicks for hundreds of CAE applications. See how easy it can be to adopt the latest AWS HPC technologies without being an IT expert, backed by TotalCAE one-hour support times.",TotalCAE,15-Nov,14:00,16:00,Wednesday,XX,"Rod Mach, Founder and CEO, TotalCAE",,Reduce simulation time with TotalCAE on AWS,AWS Booth #1001 | Pod 11 SC'23 Denver,CAE
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,15-Nov,15:00,16:00,Wednesday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre
SC23-POD8,PODs,,,Unlocking quantum potential: Getting started with Strangeworks,"Join us for a demo to help demystify quantum programming. Explore the Quantum Approximate Optimization Algorithm (QAOA) service, which simplifies quantum computing for all skill levels. See the practical application of the QAOA service on AWS via Rigetti hardware, showcasing Strangeworks‚Äôs latest cargo loading problem. Whether you‚Äôre a quantum novice or an experienced coder, gain insights into quantum computing‚Äôs potential. Discover how Strangeworks‚Äôs intuitive platform is reshaping quantum accessibility, making it easier and more efficient to harness quantum power. Start your quantum journey with Strangeworks and witness the transformative possibilities of quantum computing.",Strangeworks,15-Nov,15:00,16:00,Wednesday,XX,"Steven Gibson, Chief Strategy Officer, Strangeworks",,Unlocking quantum potential: Getting started with Strangeworks,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,Bloqade: Capably emulating & operating neutral-atom quantum computers,"This demo introduces QuEra and Bloqade, an SDK and emulator for neutral-atom quantum computing. See its success in adoption, some of its features relevant for high performance computing (such as multi-threading and GPU), and its general functionality and pipeline for operating real QPUs.",QuEra,15-Nov,15:00,16:00,Wednesday,XX,"Tommaso Macri, Executive Account Manager, QuEra; Nate Gemelke, CTO, QuEra",,Bloqade: Capably emulating & operating neutral-atom quantum computers,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
AWS-THEATRE,T,,,Building secure HPC environments with AWS ParallelCluster,"HPC systems and workloads have their own unique set of security challenges. Running these workloads on AWS can help you address these challenges in new ways and with this freedom comes the ability to choose different solutions based on your organization’s unique needs. In this session, walk through a traditional HPC security scenario and discover different approaches you can take to address these challenges. Find out how the AWS secure-by-design architecture helps take care of common security challenges, and learn best practices for building secure HPC environments on AWS. When you’re done, you’ll understand how your cloud infrastructure can be even more secure than your data centers.",AWS,15-Nov,16:00,17:00,Wednesday,bouffler,"Lowell Wofford, Principal HPC Solutions Architect, AWS; Evan Bollig, Principal HPC Specialist, AWS",,Building secure HPC environments with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security"
SC23-POD9,PODs,,,Develop quantum computing algorithms with MATLAB and Amazon Braket,"The MATLAB Support Package for Quantum Computing lets you build, simulate, and run quantum algorithms on real quantum hardware through Amazon Braket. In this demo, explore how you can use the support package within the MATLAB environment to 1/ build circuits and implement quantum algorithms using a variety of built-in and customizable composite gates; 2/ verify the implementations with local simulators in MATLAB or simulators hosted on Amazon Braket; 3/ run the algorithms on quantum computers using Amazon Braket; and 4/ visualize, analyze, and plot results. See how the support package allows you to prototype algorithms to accelerate optimization, scenario simulation, and ML, in addition to helping you solve currently unsolvable problems in chemistry and material simulations.",MathWorks,15-Nov,16:00,18:00,Wednesday,XX,"Sohini Sarkar, Product Manager Lead, MathWorks",,Develop quantum computing algorithms with MATLAB and Amazon Braket,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD8,PODs,,,High-performance cloud and on-premises quantum computing simulation,"In the constantly evolving quantum computing  landscape, the Quantuloop Quantum Simulator Suite is emerging as a  transformative force within the realm of high performance computing (HPC).  Explore how Quantaloop‚Äôs suite empowers researchers, engineers, and  innovators to unlock the capabilities of quantum computing, all without the  inherent complexities typically linked with HPC software setup and  configuration. Experience the flexibility of conducting quantum simulations  either in the cloud or within your infrastructure, thereby augmenting  security, control, and the pace of your research and development endeavors.",Quantuloop,15-Nov,16:00,18:00,Wednesday,XX,"Claudio Lima, CEO, Quantuloop; Guilherme Lima, Data Scientist, Quantuloop",,High-performance cloud and on-premises quantum computing simulation,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD5,PODs,,,HPC and AI with AWS Graviton3,"AWS Arm-based Graviton3 instances provide high performance for HPC and AI while delivering cost and energy savings. Running on Arm instances is straightforward and supported by open source and major commercial applications. In this demonstration, explore the performance, scalability, and simplicity of HPC and AI on Arm.",ARM,15-Nov,16:00,18:00,Wednesday,XX,"David Lecomber. Sr. Director, HPC. ARM",,HPC and AI with AWS Graviton3,AWS Booth #1001 | Pod 5 SC'23 Denver,Graviton
SC23-POD6,PODs,,,How to successfully move a Fortune 50 technology company to AWS,"In 2019, UberCloud met with a Fortune 50 high-tech company that develops consumer-tech products‚Äîlet‚Äôs call it TC-Anonymous (TCA). After moving several engineering simulations at TCA to AWS, UberCloud built its first automated self-service engineering simulation production platform on AWS and onboarded the first seven engineers of TCA‚Äôs R&D department to AWS. Today, TCA is running 34 different simulation workflows on AWS, with annual cloud consumption of $15 million, and increasing engineers‚Äô productivity by a factor of 10 to 40, depending on the scalability of the simulation jobs and the cloud HPC hardware. In the AWS booth, see a demo of this simulation platform and get deeper insight into the challenges and benefits for TCA.",UberCloud,15-Nov,16:00,18:00,Wednesday,XX,"Wolfgang Gentzsch, President and Co-Founder, UberCloud; Chris Hegarty, Business Development Executive, UberCloud",,How to successfully move a Fortune 50 technology company to AWS,AWS Booth #1001 | Pod 6 SC'23 Denver,"Containers, CAE"
SC23-POD10,PODs,,,Powering hybrid cloud workloads with YellowDog and AWS,"Compute availability is the biggest challenge with most workloads (including AI and ML) now chasing constrained global capacity. The imperative is to think and act quickly to get what you need but be smart, be efficient, and reduce risk. On-premises resources are still very much part of the equation, and, combined with the huge global cloud footprint of AWS, YellowDog uniquely enables workload portability at scale efficiently and cost effectively, reducing operational risk and accelerating insight.",Yellow Dog,15-Nov,16:00,18:00,Wednesday,XX,"Niall Kennedy, Product Director, YellowDog; Simon Ponsford, CTO, YellowDog",,Powering hybrid cloud workloads with YellowDog and AWS,AWS Booth #1001 | Pod 10 SC'23 Denver,"HTC, Workload Management"
SC23-POD11,PODs,,,"Run large, complex graphs on AWS with ArmoniK","In this session, learn about ArmoniK, an open source job scheduler that helps you deploy elastic workloads on premises and on the cloud. To help integrate on premises and on AWS , ArmoniK considers the location of the data and manages data transfers between tasks. Kubernetes is the only requirement for ArmoniK, which makes it easy to deploy in a variety of environments. ArmoniK is currently used to run large graphs of tasks (up to 100 million tasks) with strict business service-level agreements (SLA).",ANEO,15-Nov,16:00,18:00,Wednesday,XX,"Thierry PÈcoud, Funding Partner, ANEO; 
Wilfried Kirschenmann, CTO, ANEO",,"Run large, complex graphs on AWS with ArmoniK",AWS Booth #1001 | Pod 11 SC'23 Denver,Workload Management
SC23-POD4,PODs,,,Predicting protein structures at scale using AWS Batch,"Cognizant is proud to be an AWS Competency Partner, having demonstrated technical proficiency and proven customer success with HPC solutions encompassing high-performance solvers, HPC platforms, and workload management. Cognizant has engaged with scientists in different fields (such as life sciences, oil and gas, and financial services) and with the AWS HPC team to implement the latest technologies, architectures, processors, and compilers to solve problems efficiently in these industries. Learn how Cognizant‚Äôs workshops and advisory services on HPC and quantum computing for both business executives and technical experts have enhanced customers‚Äô efforts and success during HPC deployment or modernization.",Cognizant,15-Nov,16:00,18:00,Wednesday,XX,"John Cupit, Director, Cognizant; Arkady Polyak, Chief Technology Architect, Cognizant; Anastasia Tishuk, Software Engineer, Cognizant",,Predicting protein structures at scale using AWS Batch,AWS Booth #1001 | Pod 4 SC'23 Denver,"HPC Services, HCLS, Energy, Financial Services"
SC23-POD11,PODs,,,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,"Sanofi opted to shift from on-premises infrastructure to Amazon Web Services (AWS) for its business-critical WISE platform (200+ servers), to mitigate risk and enhance performance. Join this session to learn how this cloud migration allowed for increased agility, better user-centric services, and substantial computational power for emerging applications like genomics and AI algorithms. The move aimed to minimize downtime, ensure stability, and meet the escalating demands of thousands of users, averting potential business repercussions.",DoItNow,15-Nov,16:00,18:00,Wednesday,XX,"Alberto Garcia, Senior HPC expert, doitnow; Thierry Porcher, CTO, doitnow; Cosma Belli, Business Dev. Manager,doitnow",,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,AWS Booth #1001 | Pod 11 SC'23 Denver,Migration
SC23-POD7,PODs,,,DXC hybrid cloud with AWS,"Using real life examples and use cases, DXC explains how traditional on-premises models of HPC can be transformed by the introduction of AWS Cloud. In this session, learn the merits of hybrid compute and how to manage the transition to a successful managed solution.",DXC,15-Nov,16:00,18:00,Wednesday,XX,"Andrew Cusick, Global Business Analyst HPC Managed Services, DXC; Andrew Gunnesch, Senior Architect HPC Managed Services, DXC",,DXC hybrid cloud with AWS,AWS Booth #1001 | Pod 7 SC'23 Denver,Hybrid Cloud
AWS-THEATRE,T,,,"Training Llama 2 using 1,000+ Amazon EC2 AWS Trainium chips","AWS Trainium purpose-built accelerators can be used to train large language models (LLMs) such as Llama 2. AWS Neuron is the SDK used to run deep learning workloads on AWS Trainium–based instances. It integrates the AI framework, such as PyTorch or TensorFlow, with the hardware to enable end-to-end ML development, including building new models and training and scaling these models. The AWS Neuron SDK supports multiple distributed libraries using tensor parallelism, pipeline parallelism, and sequence parallelism for large-scale training. In this session, find out how to use AWS ParallelCluster to launch Amazon EC2 Trn1 instances and train a Llama 2 model (up to 70B) on more than 1,000 chips.",AWS,15-Nov,17:00,18:00,Wednesday,bouffler,"Jianying Lang, Principal SA for Accelerated Computing",,"Training Llama 2 using 1,000+ Amazon EC2 AWS Trainium chips",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Generative AI"
COMMUNITY,C,,,MPICH BoF: A High Performance Open-Source MPI Implementation,https://sc23.supercomputing.org/presentation/?id=bof110&sess=sess385 Rm 605,,15-Nov,17:15,18:45,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof110&sess=sess385,,MPICH BoF: A High Performance Open-Source MPI Implementation,Rm 605,"SC BoF, Community"
COMMUNITY,C,,,HDF5 BoF: Building on 25 Years of Success,https://sc23.supercomputing.org/presentation/?id=bof212&sess=sess354 Rm 401-402,,15-Nov,17:15,18:45,Wednesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof212&sess=sess354,,HDF5 BoF: Building on 25 Years of Success,Rm 401-402,"SC BoF, Community"
COMMUNITY,C,,,rescale: 2nd Annual Future of HPC Mixer,https://rescale.com/lp/sc23-hpc-mixer/ Hilton @ Denver City Center,,15-Nov,18:30,21:00,Wednesday,satgandh@,https://rescale.com/lp/sc23-hpc-mixer/,,rescale: 2nd Annual Future of HPC Mixer,Hilton @ Denver City Center,Networking
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,16-Nov,10:00,11:00,Thursday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI"
SC23-POD9,PODs,,,Scaling AI and generative AI workloads with Covalent,"As focus shifts from data-centric to compute-intensive tasks, many traditional cloud tools struggle to maintain efficiency and scalability. Built on AWS, Covalent provides developer-friendly abstractions for high-compute workloads. Users can integrate their own AWS Batch jobs for computing while Covalent takes care of orchestration to maintain data privacy. The framework harnesses AWS services such as Amazon SQS, Amazon EventBridge, and AWS Lambda to enhance scalability and cost-efficiency. Covalent optimizes costs and simplifies development, making compute-intensive tasks feel like an extension of one‚Äôs local laptop. This demo delves into Covalent‚Äôs unique positioning in meeting the demands of high-compute developments, including large language models (AIs) and generative AI.",Agnostiq,16-Nov,10:00,11:30,Thursday,XX,"Oktay Goktas, CEO, Agnostiq; Santosh Kumar Radha, Head of Product, Agnostiq
",,Scaling AI and generative AI workloads with Covalent,AWS Booth #1001 | Pod @ SC'23 Denver,"Batch, Generative AI, AI, HPC"
SC23-POD8,PODs,,,High-performance cloud and on-premises quantum computing simulation,"In the constantly evolving quantum computing  landscape, the Quantuloop Quantum Simulator Suite is emerging as a  transformative force within the realm of high performance computing (HPC).  Explore how Quantaloop‚Äôs suite empowers researchers, engineers, and  innovators to unlock the capabilities of quantum computing, all without the  inherent complexities typically linked with HPC software setup and  configuration. Experience the flexibility of conducting quantum simulations  either in the cloud or within your infrastructure, thereby augmenting  security, control, and the pace of your research and development endeavors.",Quantuloop,16-Nov,10:00,11:30,Thursday,XX,"Claudio Lima, CEO, Quantuloop; Guilherme Lima, Data Scientist, Quantuloop",,High-performance cloud and on-premises quantum computing simulation,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD5,PODs,,,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors","Amazon EC2 Hpc7a instances, powered by fourth-generation AMD EPYC processors, deliver up to 2.5 times better performance compared to Amazon EC2 Hpc6a instances. Hpc7a instances feature 2 times higher core density (up to 192 cores), 2.1 times higher memory bandwidth throughput, 2 times memory (768 GB), and 3 times higher network bandwidth compared to Hpc6a instances. In this demonstration, explore how Hpc7a instances are designed to run your tightly coupled HPC workloads, such as computational fluid dynamics, weather forecasting, and multiphysics simulations, with better performance.",AMD,16-Nov,10:00,12:00,Thursday,XX,"Matt Shamitoff, Global Account Manager AWS, AMD; Mark Monro, 
Cloud Partner Development Manager, AMD",,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors",AWS Booth #1001 | Pod 5 SC'23 Denver,HPC Optimized Instances
SC23-POD10,PODs,,,"Advance your business with high-performing instances, powered by Intel","
In this demonstration, learn about the new Amazon EC2 C7i instance, powered by custom fourth-generation Intel Xeon processors that bring Intel Accelerator Engines, and the Hpc6id instance, powered by third-generation Intel Xeon processors, that offer cost-effective price performance for memory-bound and data-intensive high performance computing (HPC) workloads. Discover how the Intel oneAPI HPC Toolkit delivers what developers need to build, analyze, optimize, and scale HPC applications. With these instances, businesses in the HPC community can address their high performance and transformation demands. Together, AWS and Intel offer customers a broad and deep set of leading compute, networking, storage, cloud orchestration, and visualization technologies.",Intel,16-Nov,10:00,12:00,Thursday,XX,"Peter Velasquez, Sales Account Maanger - AWS,; Diego Bailon Humpert, Global AWS Compute and Automotive GTM Lead",,"Advance your business with high-performing instances, powered by Intel",AWS Booth #1001 | Pod 10 SC'23 Denver,"HPC Optimized Instances, IntelMPI"
SC23-POD12,PODs,,,Enabling engineering workloads with Ansys Gateway powered by AWS,"Migrating engineering workloads like CAE simulation to cloud-based HPC has been a challenge for many AWS users. In this demo, learn how Ansys Gateway powered by AWS offers an easy workflow to deploy virtual desktops and virtual clusters with your selected Ansys applications installed, configured, and tuned for optimal performance. This is deployed in your own AWS environment, giving you the improved data control and affordability. Come see how this service can help accelerate your engineering workloads with the power of Ansys and AWS HPC.",Ansys,16-Nov,10:00,13:00,Thursday,XX,"JJ Jones, Director Cloud Sales, Ansys; Jim Burnham, Director - Global Alliances, Ansys ",,Enabling engineering workloads with Ansys Gateway powered by AWS,AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD6,PODs,,,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation","
In this demo, see [RS1] how you can run CFD simulations in the cloud in just a few clicks. Simcenter Cloud HPC integrates Simcenter software with AWS Cloud infrastructure, delivering turnkey HPC as a service from a single platform. This cloud-based HPC solution frees engineers from the overhead of managing hardware and configuring infrastructure. It provides instant access to a vast pool of HPC resources without needing costly onsite clusters or queueing for HPC clusters to become available. Explore this comprehensive simulation solution that includes remote desktop‚Äìbased authoring, allowing you to access Simcenter STAR-CCM+ from anywhere at any time using a web browser. With no need for local installations, you can set up, conduct, and post-process your simulations in the cloud.",Siemens,16-Nov,10:00,13:00,Thursday,XX,"Sinivasan Vimalanathan, Product Manager, Siemens; Joel Davison, Director Product Management, Siemens; Deryl Snyder VP Product Management, Siemens",,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation",AWS Booth #1001 | Pod 6 SC'23 Denver,CAE
SC23-POD11,PODs,,,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,"
At the intersection of science and technology, Clovertex is a systems integrator specializing in architecting, building, automating, and managing scientific applications, databases, data lakes, and workflows using cloud computing technologies. As a scientific applications service provider for the pharmaceutical domain, Clovertex offers a range of capabilities tailored to meet the specific needs of the industry. In this demonstration, explore customer examples where businesses have delivered new capabilities for scientific data analysis (including cryoEM) and learn how the synergy between cutting-edge science and cloud technology can drive innovation and accelerate progress in the field of structural biology.",Clovertex,16-Nov,10:00,12:00,Thursday,XX,"Deven Atnoor, VP Scientific Strategy, Clovertex",,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,AWS Booth #1001 | Pod 11 SC'23 Denver,Research
SC23-POD7,PODs,,,"Rescale HTC platform for semiconductor, manufacturing, and pharma","High-throughput computing (HTC) is emerging as a powerful capability for engineering and research across many industries. From drug discovery and computational chemistry to electronic design automation (EDA) and environmental research, HTC is helping scientific and engineering teams perform massively parallel processing to quickly analyze vast quantities of information for solving some of the world‚Äôs most complex scientific and engineering challenges. In this demo, see how companies like Arm use the Rescale HTC platform powered by services like AWS Batch and AWS Graviton3E-based Amazon EC2 instances to run large-scale analyses for semiconductor design.",Rescale,16-Nov,10:00,13:00,Thursday,XX,"Billy Karasz, Senior Solutions Architect, Rescale; Madhu Vellaka, Solutions Engineering Manager, Rescale",,"Rescale HTC platform for semiconductor, manufacturing, and pharma",AWS Booth #1001 | Pod 7 SC'23 Denver,"Graviton, Batch, HTC"
SC23-POD4,PODs,,,Supercomputing on AWS with RONIN: It's not complicated[YK1],"RONIN is a one-stop shop for self-service cloud management. It helps businesses migrate critical and expensive business functions, such as storage management, desktop virtualization, and HPC footprint, to a more flexible, secure, and efficient AWS architecture. RONIN can assist you in scaling up to a fleet of HPC supercomputers to meet the demands of your business, and most importantly, scale them back down when you no longer require the compute power that AWS and RONIN provide. In this demonstration, learn how RONIN can help you stay compliant with regulations, automate tasks, and provide a single pane of glass experience for a better view of your operations.",RONIN,16-Nov,10:00,13:00,Thursday,XX,"Nathan Albrighton, CEO, RONIN; Byron Low, COO, RONIN; Parice Brandies, Principal Bioinfomatician, RONIN; Don Hancock, CFO, RONIN; Aaron Albrighton, Lead Developer, RONIN",,Supercomputing on AWS with RONIN: It's not complicated,AWS Booth #1001 | Pod 4 SC'23 Denver,Research
SC23-POD11,PODs,,,"Run large, complex graphs on AWS with ArmoniK","In this session, learn about ArmoniK, an open source job scheduler that helps you deploy elastic workloads on premises and on the cloud. To help integrate on premises and on AWS , ArmoniK considers the location of the data and manages data transfers between tasks. Kubernetes is the only requirement for ArmoniK, which makes it easy to deploy in a variety of environments. ArmoniK is currently used to run large graphs of tasks (up to 100 million tasks) with strict business service-level agreements (SLA).",ANEO,16-Nov,10:00,12:00,Thursday,XX,"Thierry PÈcoud, Funding Partner, ANEO; 
Wilfried Kirschenmann, CTO, ANEO",,"Run large, complex graphs on AWS with ArmoniK",AWS Booth #1001 | Pod 11 SC'23 Denver,"HPC Scheduler, "
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training AI (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,16-Nov,11:00,12:00,Thursday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, AI"
